disruption_id,segment_id,cause,rainfall_72h_mm,avg_slope_deg,elevation_m,terrain,soil_type,surface_quality,lanes,importance,bridge_count,length_km,susceptibility_class,lsi_score,historic_density_per_km,landslide_volume_m3,runout_distance_m,material,alternate_route_available,month,duration_hours,duration_bucket
DSR-00384,SEG-0065,landslide,541.8,24.2,1060,mountain,weathered_rock,fair,1,state,3,49.23,high,0.6127,1.1781,2092,54,rock,True,10,9.8,6_24h
DSR-01904,SEG-0046,flood,693.6,42.0,886,mountain,weathered_rock,fair,2,national,3,52.1,very_high,0.7002,1.2668,0,0,none,True,10,17.7,6_24h
DSR-01685,SEG-0019,maintenance,25.6,14.6,337,hilly,lateritic,good,2,national,0,41.98,moderate,0.4436,0.8814,0,0,none,True,11,5.0,under_6h
DSR-00273,SEG-0013,landslide,339.0,37.1,1496,mountain,weathered_rock,poor,2,national,5,35.74,very_high,0.7998,6.2115,8350,92,earth,True,11,9.6,6_24h
DSR-02073,SEG-0009,maintenance,54.6,2.4,93,plain,alluvial,good,4,national,0,50.33,low,0.2614,0.0397,0,0,none,True,11,10.2,6_24h
DSR-00369,SEG-0030,landslide,30.7,33.9,642,mountain,weathered_rock,good,2,national,5,34.62,moderate,0.5294,0.751,3458,62,debris,True,11,3.0,under_6h
DSR-02205,SEG-0047,maintenance,36.5,27.7,1650,mountain,weathered_rock,fair,2,national,4,6.8,high,0.6569,10.2941,0,0,none,True,11,43.2,1_3days
DSR-01861,SEG-0012,maintenance,23.7,23.6,775,mountain,weathered_rock,fair,2,national,3,30.75,high,0.5759,1.5285,0,0,none,True,1,28.2,1_3days
DSR-00584,SEG-0066,landslide,362.9,40.9,1099,mountain,weathered_rock,fair,1,state,1,40.68,very_high,0.7302,2.1141,97,15,debris,True,1,1.0,under_6h
DSR-00450,SEG-0020,landslide,855.7,15.5,450,hilly,lateritic,fair,2,national,1,33.37,moderate,0.4853,0.7492,546,19,earth,True,1,1.0,under_6h
DSR-00428,SEG-0025,landslide,4.9,39.3,1378,mountain,weathered_rock,good,2,national,7,49.09,high,0.6173,1.1204,2606,62,rock,True,1,7.0,6_24h
DSR-00659,SEG-0019,landslide,423.0,14.6,337,hilly,lateritic,good,2,national,0,41.98,moderate,0.4436,0.8814,5282,76,rock,True,1,8.3,6_24h
DSR-00612,SEG-0062,landslide,106.7,28.8,1247,mountain,weathered_rock,good,1,national,0,44.74,high,0.56,1.0729,1392,40,rock,True,2,2.7,under_6h
DSR-01804,SEG-0018,maintenance,31.5,10.2,139,hilly,lateritic,poor,2,national,6,83.56,moderate,0.3867,0.2513,0,0,none,True,2,37.8,1_3days
DSR-00547,SEG-0064,landslide,102.1,27.6,2731,mountain,weathered_rock,poor,1,national,1,66.29,very_high,0.7556,1.8706,1212,47,rock,True,2,4.2,under_6h
DSR-00444,SEG-0067,landslide,292.4,17.3,231,hilly,lateritic,fair,1,state,2,38.22,moderate,0.4483,0.5233,345,11,earth,True,2,1.0,under_6h
DSR-01937,SEG-0051,flood,467.7,40.0,1250,mountain,weathered_rock,good,1,national,4,14.39,very_high,0.7423,3.0577,0,0,none,True,3,36.7,1_3days
DSR-02055,SEG-0035,bridge_damage,158.9,24.0,1216,mountain,weathered_rock,poor,2,national,1,49.37,high,0.6147,1.1951,0,0,none,True,3,737.5,over_3days
DSR-00398,SEG-0013,landslide,779.6,37.1,1496,mountain,weathered_rock,poor,2,national,5,35.74,very_high,0.7998,6.2115,482,14,earth,True,3,1.0,under_6h
DSR-00429,SEG-0053,landslide,412.5,22.5,1675,mountain,weathered_rock,good,2,state,2,6.97,high,0.5856,6.8867,537,29,debris,True,3,3.6,under_6h
DSR-00669,SEG-0055,landslide,359.2,37.5,1780,mountain,weathered_rock,fair,2,state,3,9.73,very_high,0.7143,6.5776,657,31,debris,True,3,3.4,under_6h
DSR-00392,SEG-0043,landslide,519.6,20.5,34,hilly,lateritic,poor,2,national,1,17.57,moderate,0.4617,0.9676,42,7,earth,True,3,1.0,under_6h
DSR-00671,SEG-0013,landslide,768.4,37.1,1496,mountain,weathered_rock,poor,2,national,5,35.74,very_high,0.7998,6.2115,2121,33,rock,True,4,2.6,under_6h
DSR-02119,SEG-0062,accident_blockage,73.9,28.8,1247,mountain,weathered_rock,good,1,national,0,44.74,high,0.56,1.0729,0,0,none,True,4,14.4,6_24h
DSR-00464,SEG-0055,landslide,176.8,37.5,1780,mountain,weathered_rock,fair,2,state,3,9.73,very_high,0.7143,6.5776,627,15,earth,True,4,2.4,under_6h
DSR-00571,SEG-0065,landslide,247.0,24.2,1060,mountain,weathered_rock,fair,1,state,3,49.23,high,0.6127,1.1781,27146,95,debris,True,4,93.0,over_3days
DSR-00491,SEG-0066,landslide,336.4,40.9,1099,mountain,weathered_rock,fair,1,state,1,40.68,very_high,0.7302,2.1141,30194,91,rock,True,4,269.1,over_3days
DSR-01722,SEG-0035,flood,197.8,24.0,1216,mountain,weathered_rock,poor,2,national,1,49.37,high,0.6147,1.1951,0,0,none,True,4,65.3,1_3days
DSR-00487,SEG-0047,landslide,26.5,27.7,1650,mountain,weathered_rock,fair,2,national,4,6.8,high,0.6569,10.2941,932,15,debris,True,4,1.0,under_6h
DSR-02184,SEG-0014,bridge_damage,141.9,24.6,1438,mountain,weathered_rock,fair,2,national,5,33.95,high,0.671,3.7408,0,0,none,True,5,570.3,over_3days
DSR-00545,SEG-0012,landslide,46.6,23.6,775,mountain,weathered_rock,fair,2,national,3,30.75,high,0.5759,1.5285,5565,86,rock,True,5,13.1,6_24h
DSR-00544,SEG-0013,landslide,789.1,37.1,1496,mountain,weathered_rock,poor,2,national,5,35.74,very_high,0.7998,6.2115,1411,25,earth,True,5,1.3,under_6h
DSR-00539,SEG-0014,landslide,407.1,24.6,1438,mountain,weathered_rock,fair,2,national,5,33.95,high,0.671,3.7408,726,15,rock,True,5,1.0,under_6h
DSR-00482,SEG-0013,landslide,739.2,37.1,1496,mountain,weathered_rock,poor,2,national,5,35.74,very_high,0.7998,6.2115,2194,44,earth,True,5,2.2,under_6h
DSR-00478,SEG-0028,landslide,586.8,34.8,1023,mountain,weathered_rock,good,2,national,7,46.71,high,0.5668,0.8349,4754,60,rock,True,5,15.4,6_24h
DSR-00689,SEG-0027,landslide,156.0,33.3,1348,mountain,weathered_rock,fair,2,national,3,31.75,high,0.6513,1.5118,2013,25,earth,True,5,1.4,under_6h
DSR-00399,SEG-0049,landslide,279.7,22.3,1450,mountain,weathered_rock,fair,1,national,1,20.47,high,0.6253,2.1006,818,42,debris,True,5,1.5,under_6h
DSR-02210,SEG-0036,flood,544.3,38.8,1084,mountain,weathered_rock,good,2,national,0,48.29,high,0.5956,0.8905,0,0,none,True,5,86.6,over_3days
DSR-00548,SEG-0025,landslide,445.7,39.3,1378,mountain,weathered_rock,good,2,national,7,49.09,high,0.6173,1.1204,4164,73,rock,True,5,14.6,6_24h
DSR-01842,SEG-0040,flood,439.2,11.0,60,hilly,lateritic,fair,2,national,0,29.41,moderate,0.3802,0.204,0,0,none,True,5,64.3,1_3days
DSR-01624,SEG-0024,bridge_damage,243.2,22.5,923,mountain,weathered_rock,fair,2,national,4,51.06,high,0.5596,0.5484,0,0,none,True,5,667.3,over_3days
DSR-00665,SEG-0013,landslide,204.8,37.1,1496,mountain,weathered_rock,poor,2,national,5,35.74,very_high,0.7998,6.2115,26329,156,earth,True,5,28.2,1_3days
DSR-00493,SEG-0015,landslide,424.6,28.7,701,mountain,weathered_rock,fair,2,national,4,75.53,high,0.6753,1.4431,321,11,debris,True,5,1.0,under_6h
DSR-00560,SEG-0051,landslide,348.9,40.0,1250,mountain,weathered_rock,good,1,national,4,14.39,very_high,0.7423,3.0577,168,9,rock,True,5,1.4,under_6h
DSR-00553,SEG-0035,landslide,104.2,24.0,1216,mountain,weathered_rock,poor,2,national,1,49.37,high,0.6147,1.1951,855,22,debris,True,5,1.9,under_6h
DSR-01887,SEG-0025,flood,443.7,39.3,1378,mountain,weathered_rock,good,2,national,7,49.09,high,0.6173,1.1204,0,0,none,True,5,51.1,1_3days
DSR-00469,SEG-0049,landslide,446.6,22.3,1450,mountain,weathered_rock,fair,1,national,1,20.47,high,0.6253,2.1006,165490,310,rock,True,5,892.6,over_3days
DSR-00421,SEG-0051,landslide,489.0,40.0,1250,mountain,weathered_rock,good,1,national,4,14.39,very_high,0.7423,3.0577,1953,27,rock,True,5,5.8,under_6h
DSR-00519,SEG-0056,landslide,246.1,13.0,259,hilly,lateritic,fair,2,national,2,94.3,low,0.3544,0.1273,4210,29,earth,True,5,1.8,under_6h
DSR-02037,SEG-0015,flood,690.2,28.7,701,mountain,weathered_rock,fair,2,national,4,75.53,high,0.6753,1.4431,0,0,none,True,5,133.8,over_3days
DSR-02005,SEG-0056,protest_blockade,95.9,13.0,259,hilly,lateritic,fair,2,national,2,94.3,low,0.3544,0.1273,0,0,none,True,5,25.1,1_3days
DSR-02297,SEG-0037,fallen_tree,81.1,38.7,1405,mountain,weathered_rock,poor,2,state,3,68.38,high,0.691,0.9652,0,0,none,True,5,37.7,1_3days
DSR-00546,SEG-0068,landslide,251.6,40.7,433,mountain,weathered_rock,poor,1,state,4,66.95,high,0.6745,1.0157,3939,32,earth,True,5,5.8,under_6h
DSR-00640,SEG-0060,landslide,26.2,40.2,620,mountain,weathered_rock,fair,2,national,3,60.75,very_high,0.7497,1.1193,443,23,rock,True,6,1.0,under_6h
DSR-00611,SEG-0036,landslide,167.6,38.8,1084,mountain,weathered_rock,good,2,national,0,48.29,high,0.5956,0.8905,653,14,debris,True,6,1.0,under_6h
DSR-00687,SEG-0053,landslide,538.5,22.5,1675,mountain,weathered_rock,good,2,state,2,6.97,high,0.5856,6.8867,440,22,debris,True,6,1.6,under_6h
DSR-00577,SEG-0066,landslide,127.6,40.9,1099,mountain,weathered_rock,fair,1,state,1,40.68,very_high,0.7302,2.1141,162,8,earth,True,6,1.0,under_6h
DSR-00591,SEG-0066,landslide,123.8,40.9,1099,mountain,weathered_rock,fair,1,state,1,40.68,very_high,0.7302,2.1141,12249,73,rock,True,6,118.2,over_3days
DSR-00524,SEG-0036,landslide,7.4,38.8,1084,mountain,weathered_rock,good,2,national,0,48.29,high,0.5956,0.8905,45883,234,debris,True,6,65.0,1_3days
DSR-00667,SEG-0028,landslide,291.2,34.8,1023,mountain,weathered_rock,good,2,national,7,46.71,high,0.5668,0.8349,5080,63,rock,True,6,13.6,6_24h
DSR-00652,SEG-0052,landslide,456.2,37.0,1662,mountain,weathered_rock,poor,2,state,7,38.08,very_high,0.7503,2.2321,25,5,debris,True,6,1.0,under_6h
DSR-00501,SEG-0063,landslide,493.0,25.7,2415,mountain,weathered_rock,good,1,national,0,35.45,high,0.6573,1.7489,452,11,earth,True,6,1.6,under_6h
DSR-00540,SEG-0014,landslide,131.0,24.6,1438,mountain,weathered_rock,fair,2,national,5,33.95,high,0.671,3.7408,824,29,rock,True,6,1.4,under_6h
DSR-00579,SEG-0051,landslide,65.5,40.0,1250,mountain,weathered_rock,good,1,national,4,14.39,very_high,0.7423,3.0577,720,14,debris,True,6,1.1,under_6h
DSR-02227,SEG-0025,flood,353.2,39.3,1378,mountain,weathered_rock,good,2,national,7,49.09,high,0.6173,1.1204,0,0,none,True,6,78.5,over_3days
DSR-00605,SEG-0013,landslide,338.4,37.1,1496,mountain,weathered_rock,poor,2,national,5,35.74,very_high,0.7998,6.2115,127,12,rock,True,6,1.0,under_6h
DSR-00459,SEG-0051,landslide,549.4,40.0,1250,mountain,weathered_rock,good,1,national,4,14.39,very_high,0.7423,3.0577,2937,69,rock,True,6,5.8,under_6h
DSR-01881,SEG-0013,fallen_tree,9.0,37.1,1496,mountain,weathered_rock,poor,2,national,5,35.74,very_high,0.7998,6.2115,0,0,none,True,6,4.6,under_6h
DSR-00405,SEG-0050,landslide,396.5,33.3,1250,mountain,weathered_rock,poor,1,national,4,14.76,very_high,0.7245,5.6233,133,16,rock,True,6,1.0,under_6h
DSR-02057,SEG-0037,accident_blockage,166.2,38.7,1405,mountain,weathered_rock,poor,2,state,3,68.38,high,0.691,0.9652,0,0,none,True,6,22.8,6_24h
DSR-02248,SEG-0001,road_subsidence,238.6,4.2,87,plain,alluvial,good,4,national,1,216.84,low,0.2231,0.0,0,0,none,True,6,34.2,1_3days
DSR-00486,SEG-0050,landslide,412.9,33.3,1250,mountain,weathered_rock,poor,1,national,4,14.76,very_high,0.7245,5.6233,1285,46,earth,True,6,1.8,under_6h
DSR-00681,SEG-0028,landslide,411.8,34.8,1023,mountain,weathered_rock,good,2,national,7,46.71,high,0.5668,0.8349,3168,36,earth,True,6,6.5,6_24h
DSR-00639,SEG-0055,landslide,359.4,37.5,1780,mountain,weathered_rock,fair,2,state,3,9.73,very_high,0.7143,6.5776,1466,49,debris,True,6,4.8,under_6h
DSR-00575,SEG-0058,landslide,46.7,27.3,1002,mountain,weathered_rock,fair,2,national,3,55.82,high,0.626,0.842,309,22,rock,True,6,1.3,under_6h
DSR-00447,SEG-0058,landslide,446.1,27.3,1002,mountain,weathered_rock,fair,2,national,3,55.82,high,0.626,0.842,14273,56,debris,True,6,21.8,6_24h
DSR-00587,SEG-0056,landslide,244.6,13.0,259,hilly,lateritic,fair,2,national,2,94.3,low,0.3544,0.1273,271,13,earth,True,6,1.0,under_6h
DSR-02092,SEG-0045,flood,391.3,1.7,23,plain,alluvial,good,2,national,0,23.28,low,0.2326,0.043,0,0,none,True,6,172.2,over_3days
DSR-00442,SEG-0071,landslide,58.8,17.3,165,hilly,lateritic,fair,2,state,3,30.67,moderate,0.4198,0.5217,218,24,earth,True,6,1.0,under_6h
DSR-00592,SEG-0042,landslide,203.7,9.1,45,hilly,lateritic,poor,2,national,3,16.18,moderate,0.4355,1.0507,193,13,earth,True,6,1.0,under_6h
DSR-01878,SEG-0003,road_subsidence,67.1,2.1,54,plain,alluvial,fair,4,national,1,45.56,low,0.2534,0.0,0,0,none,True,6,223.9,over_3days
DSR-01993,SEG-0049,protest_blockade,155.4,22.3,1450,mountain,weathered_rock,fair,1,national,1,20.47,high,0.6253,2.1006,0,0,none,True,6,10.4,6_24h
DSR-02177,SEG-0014,fallen_tree,168.0,24.6,1438,mountain,weathered_rock,fair,2,national,5,33.95,high,0.671,3.7408,0,0,none,True,6,21.6,6_24h
DSR-00418,SEG-0014,landslide,877.0,24.6,1438,mountain,weathered_rock,fair,2,national,5,33.95,high,0.671,3.7408,5658,30,earth,True,6,11.4,6_24h
DSR-00582,SEG-0013,landslide,929.5,37.1,1496,mountain,weathered_rock,poor,2,national,5,35.74,very_high,0.7998,6.2115,5541,32,rock,True,6,18.2,6_24h
DSR-01732,SEG-0030,accident_blockage,169.5,33.9,642,mountain,weathered_rock,good,2,national,5,34.62,moderate,0.5294,0.751,0,0,none,True,6,21.8,6_24h
DSR-01987,SEG-0062,flood,584.3,28.8,1247,mountain,weathered_rock,good,1,national,0,44.74,high,0.56,1.0729,0,0,none,True,6,61.1,1_3days
DSR-00440,SEG-0066,landslide,82.9,40.9,1099,mountain,weathered_rock,fair,1,state,1,40.68,very_high,0.7302,2.1141,76,7,rock,True,6,2.0,under_6h
DSR-00435,SEG-0037,landslide,71.1,38.7,1405,mountain,weathered_rock,poor,2,state,3,68.38,high,0.691,0.9652,4627,81,rock,True,6,68.0,1_3days
DSR-01725,SEG-0066,road_subsidence,256.0,40.9,1099,mountain,weathered_rock,fair,1,state,1,40.68,very_high,0.7302,2.1141,0,0,none,True,6,280.7,over_3days
DSR-00562,SEG-0051,landslide,248.8,40.0,1250,mountain,weathered_rock,good,1,national,4,14.39,very_high,0.7423,3.0577,1552,18,rock,True,6,6.5,6_24h
DSR-00633,SEG-0013,landslide,769.1,37.1,1496,mountain,weathered_rock,poor,2,national,5,35.74,very_high,0.7998,6.2115,1531,31,rock,True,6,5.4,under_6h
DSR-00564,SEG-0068,landslide,317.0,40.7,433,mountain,weathered_rock,poor,1,state,4,66.95,high,0.6745,1.0157,2034,44,rock,True,6,38.4,1_3days
DSR-00484,SEG-0013,landslide,206.3,37.1,1496,mountain,weathered_rock,poor,2,national,5,35.74,very_high,0.7998,6.2115,782,15,debris,True,7,1.6,under_6h
DSR-00670,SEG-0025,landslide,86.4,39.3,1378,mountain,weathered_rock,good,2,national,7,49.09,high,0.6173,1.1204,820,17,rock,True,7,3.6,under_6h
DSR-01742,SEG-0011,bridge_damage,263.8,5.7,112,plain,alluvial,fair,4,national,1,42.95,low,0.2769,0.0698,0,0,none,True,7,217.5,over_3days
DSR-02254,SEG-0068,flood,277.8,40.7,433,mountain,weathered_rock,poor,1,state,4,66.95,high,0.6745,1.0157,0,0,none,True,7,431.2,over_3days
DSR-00529,SEG-0048,landslide,286.0,32.0,1650,mountain,weathered_rock,fair,2,national,0,15.63,high,0.6747,3.263,1028,16,debris,True,7,1.5,under_6h
DSR-00666,SEG-0060,landslide,222.7,40.2,620,mountain,weathered_rock,fair,2,national,3,60.75,very_high,0.7497,1.1193,312,20,debris,True,7,1.6,under_6h
DSR-00467,SEG-0015,landslide,134.3,28.7,701,mountain,weathered_rock,fair,2,national,4,75.53,high,0.6753,1.4431,616,26,rock,True,7,1.2,under_6h
DSR-00394,SEG-0025,landslide,551.7,39.3,1378,mountain,weathered_rock,good,2,national,7,49.09,high,0.6173,1.1204,24147,62,debris,True,7,35.1,1_3days
DSR-00461,SEG-0059,landslide,75.6,35.4,1092,mountain,weathered_rock,fair,2,national,7,61.83,very_high,0.7049,1.3586,1912,47,earth,True,7,1.9,under_6h
DSR-00661,SEG-0013,landslide,302.6,37.1,1496,mountain,weathered_rock,poor,2,national,5,35.74,very_high,0.7998,6.2115,708,14,rock,True,7,2.5,under_6h
DSR-00522,SEG-0046,landslide,522.6,42.0,886,mountain,weathered_rock,fair,2,national,3,52.1,very_high,0.7002,1.2668,5432,37,debris,True,7,6.4,6_24h
DSR-00506,SEG-0058,landslide,238.1,27.3,1002,mountain,weathered_rock,fair,2,national,3,55.82,high,0.626,0.842,18217,52,rock,True,7,56.0,1_3days
DSR-00567,SEG-0060,landslide,83.0,40.2,620,mountain,weathered_rock,fair,2,national,3,60.75,very_high,0.7497,1.1193,3469,43,debris,True,7,3.2,under_6h
DSR-00532,SEG-0066,landslide,259.1,40.9,1099,mountain,weathered_rock,fair,1,state,1,40.68,very_high,0.7302,2.1141,932,42,rock,True,7,17.8,6_24h
DSR-00402,SEG-0019,landslide,308.7,14.6,337,hilly,lateritic,good,2,national,0,41.98,moderate,0.4436,0.8814,7056,93,earth,True,7,15.3,6_24h
DSR-00445,SEG-0031,landslide,202.2,26.1,850,mountain,weathered_rock,fair,2,state,7,59.58,moderate,0.516,0.621,16213,60,debris,True,7,88.8,over_3days
DSR-00662,SEG-0062,landslide,511.8,28.8,1247,mountain,weathered_rock,good,1,national,0,44.74,high,0.56,1.0729,57664,250,debris,True,7,328.2,over_3days
DSR-02102,SEG-0060,fallen_tree,56.9,40.2,620,mountain,weathered_rock,fair,2,national,3,60.75,very_high,0.7497,1.1193,0,0,none,True,7,8.8,6_24h
DSR-00572,SEG-0064,landslide,426.6,27.6,2731,mountain,weathered_rock,poor,1,national,1,66.29,very_high,0.7556,1.8706,3015,70,rock,True,7,35.5,1_3days
DSR-02033,SEG-0010,fallen_tree,76.3,4.2,102,plain,alluvial,fair,4,national,1,60.63,low,0.3066,0.0165,0,0,none,True,7,7.9,6_24h
DSR-00576,SEG-0013,landslide,594.6,37.1,1496,mountain,weathered_rock,poor,2,national,5,35.74,very_high,0.7998,6.2115,9060,100,rock,True,7,37.2,1_3days
DSR-00497,SEG-0059,landslide,306.1,35.4,1092,mountain,weathered_rock,fair,2,national,7,61.83,very_high,0.7049,1.3586,7717,108,debris,True,7,31.7,1_3days
DSR-01988,SEG-0005,protest_blockade,82.4,2.7,57,plain,alluvial,good,4,national,2,97.15,low,0.2605,0.0206,0,0,none,True,7,24.6,1_3days
DSR-02195,SEG-0065,flood,666.5,24.2,1060,mountain,weathered_rock,fair,1,state,3,49.23,high,0.6127,1.1781,0,0,none,True,7,104.4,over_3days
DSR-00406,SEG-0055,landslide,21.3,37.5,1780,mountain,weathered_rock,fair,2,state,3,9.73,very_high,0.7143,6.5776,849,13,debris,True,7,1.7,under_6h
DSR-00585,SEG-0060,landslide,449.4,40.2,620,mountain,weathered_rock,fair,2,national,3,60.75,very_high,0.7497,1.1193,837,34,rock,True,7,4.0,under_6h
DSR-01908,SEG-0017,road_subsidence,301.8,6.0,54,plain,alluvial,good,2,national,0,111.76,low,0.2804,0.0358,0,0,none,True,7,20.9,6_24h
DSR-00513,SEG-0055,landslide,607.9,37.5,1780,mountain,weathered_rock,fair,2,state,3,9.73,very_high,0.7143,6.5776,25652,80,debris,True,7,113.2,over_3days
DSR-01991,SEG-0023,fallen_tree,53.0,23.6,1061,mountain,weathered_rock,fair,2,national,0,27.48,moderate,0.546,1.0917,0,0,none,True,7,2.6,under_6h
DSR-02116,SEG-0013,bridge_damage,129.0,37.1,1496,mountain,weathered_rock,poor,2,national,5,35.74,very_high,0.7998,6.2115,0,0,none,True,7,1145.0,over_3days
DSR-00483,SEG-0022,landslide,344.3,22.3,1252,mountain,weathered_rock,fair,2,national,3,19.5,high,0.5848,1.641,1421,20,earth,True,7,2.0,under_6h
DSR-02152,SEG-0016,bridge_damage,156.4,3.8,24,plain,alluvial,good,2,national,4,19.48,low,0.2584,0.0513,0,0,none,True,7,967.0,over_3days
DSR-02300,SEG-0053,flood,544.8,22.5,1675,mountain,weathered_rock,good,2,state,2,6.97,high,0.5856,6.8867,0,0,none,True,7,192.9,over_3days
DSR-00586,SEG-0013,landslide,483.8,37.1,1496,mountain,weathered_rock,poor,2,national,5,35.74,very_high,0.7998,6.2115,207,22,rock,True,7,1.0,under_6h
DSR-00609,SEG-0018,landslide,120.0,10.2,139,hilly,lateritic,poor,2,national,6,83.56,moderate,0.3867,0.2513,218,9,earth,True,7,1.0,under_6h
DSR-00600,SEG-0051,landslide,249.5,40.0,1250,mountain,weathered_rock,good,1,national,4,14.39,very_high,0.7423,3.0577,570,31,debris,True,7,1.0,under_6h
DSR-00502,SEG-0060,landslide,320.2,40.2,620,mountain,weathered_rock,fair,2,national,3,60.75,very_high,0.7497,1.1193,488,13,debris,True,7,2.2,under_6h
DSR-00430,SEG-0025,landslide,303.6,39.3,1378,mountain,weathered_rock,good,2,national,7,49.09,high,0.6173,1.1204,3237,66,rock,True,7,16.7,6_24h
DSR-01849,SEG-0043,flood,363.7,20.5,34,hilly,lateritic,poor,2,national,1,17.57,moderate,0.4617,0.9676,0,0,none,True,7,167.6,over_3days
DSR-00509,SEG-0046,landslide,28.4,42.0,886,mountain,weathered_rock,fair,2,national,3,52.1,very_high,0.7002,1.2668,1430,45,rock,True,7,5.4,under_6h
DSR-00466,SEG-0015,landslide,81.3,28.7,701,mountain,weathered_rock,fair,2,national,4,75.53,high,0.6753,1.4431,1711,53,earth,True,7,2.3,under_6h
DSR-00473,SEG-0036,landslide,37.7,38.8,1084,mountain,weathered_rock,good,2,national,0,48.29,high,0.5956,0.8905,4530,39,rock,True,7,11.9,6_24h
DSR-00634,SEG-0013,landslide,219.1,37.1,1496,mountain,weathered_rock,poor,2,national,5,35.74,very_high,0.7998,6.2115,552,31,earth,True,7,1.0,under_6h
DSR-00411,SEG-0013,landslide,552.1,37.1,1496,mountain,weathered_rock,poor,2,national,5,35.74,very_high,0.7998,6.2115,5060,81,rock,True,7,24.0,1_3days
DSR-02150,SEG-0022,accident_blockage,98.0,22.3,1252,mountain,weathered_rock,fair,2,national,3,19.5,high,0.5848,1.641,0,0,none,True,7,15.5,6_24h
DSR-00531,SEG-0050,landslide,387.7,33.3,1250,mountain,weathered_rock,poor,1,national,4,14.76,very_high,0.7245,5.6233,12063,104,debris,True,7,36.6,1_3days
DSR-00458,SEG-0018,landslide,219.7,10.2,139,hilly,lateritic,poor,2,national,6,83.56,moderate,0.3867,0.2513,354,30,rock,True,7,1.0,under_6h
DSR-00555,SEG-0065,landslide,217.0,24.2,1060,mountain,weathered_rock,fair,1,state,3,49.23,high,0.6127,1.1781,1969,22,debris,True,7,20.3,6_24h
DSR-00608,SEG-0047,landslide,386.7,27.7,1650,mountain,weathered_rock,fair,2,national,4,6.8,high,0.6569,10.2941,1927,52,rock,True,7,6.5,6_24h
DSR-00601,SEG-0013,landslide,807.3,37.1,1496,mountain,weathered_rock,poor,2,national,5,35.74,very_high,0.7998,6.2115,1402,41,debris,True,7,2.2,under_6h
DSR-00678,SEG-0047,landslide,287.1,27.7,1650,mountain,weathered_rock,fair,2,national,4,6.8,high,0.6569,10.2941,4974,70,debris,True,7,4.3,under_6h
DSR-01755,SEG-0036,fallen_tree,197.0,38.8,1084,mountain,weathered_rock,good,2,national,0,48.29,high,0.5956,0.8905,0,0,none,True,7,8.6,6_24h
DSR-00680,SEG-0027,landslide,291.0,33.3,1348,mountain,weathered_rock,fair,2,national,3,31.75,high,0.6513,1.5118,3905,76,earth,True,8,9.2,6_24h
DSR-01709,SEG-0024,accident_blockage,105.9,22.5,923,mountain,weathered_rock,fair,2,national,4,51.06,high,0.5596,0.5484,0,0,none,True,8,17.1,6_24h
DSR-00549,SEG-0059,landslide,31.6,35.4,1092,mountain,weathered_rock,fair,2,national,7,61.83,very_high,0.7049,1.3586,10747,124,rock,True,8,93.2,over_3days
DSR-00489,SEG-0051,landslide,131.4,40.0,1250,mountain,weathered_rock,good,1,national,4,14.39,very_high,0.7423,3.0577,10316,106,debris,True,8,37.8,1_3days
DSR-00613,SEG-0054,landslide,618.7,32.8,1727,mountain,weathered_rock,fair,2,state,4,16.34,high,0.6827,2.9376,1001,26,debris,True,8,2.5,under_6h
DSR-01848,SEG-0070,bridge_damage,282.7,17.5,123,hilly,lateritic,good,2,state,2,93.38,low,0.3544,0.1606,0,0,none,True,8,675.4,over_3days
DSR-01675,SEG-0033,flood,204.8,14.5,337,hilly,lateritic,good,2,national,1,68.93,low,0.3399,0.1596,0,0,none,True,8,139.2,over_3days
DSR-00515,SEG-0049,landslide,318.1,22.3,1450,mountain,weathered_rock,fair,1,national,1,20.47,high,0.6253,2.1006,31793,90,rock,True,8,111.2,over_3days
DSR-00620,SEG-0064,landslide,234.7,27.6,2731,mountain,weathered_rock,poor,1,national,1,66.29,very_high,0.7556,1.8706,10453,74,rock,True,8,59.2,1_3days
DSR-00622,SEG-0014,landslide,516.4,24.6,1438,mountain,weathered_rock,fair,2,national,5,33.95,high,0.671,3.7408,2663,42,rock,True,8,21.6,6_24h
DSR-01851,SEG-0066,protest_blockade,169.9,40.9,1099,mountain,weathered_rock,fair,1,state,1,40.68,very_high,0.7302,2.1141,0,0,none,True,8,53.9,1_3days
DSR-00630,SEG-0013,landslide,238.4,37.1,1496,mountain,weathered_rock,poor,2,national,5,35.74,very_high,0.7998,6.2115,469,20,debris,True,8,1.3,under_6h
DSR-00561,SEG-0015,landslide,19.7,28.7,701,mountain,weathered_rock,fair,2,national,4,75.53,high,0.6753,1.4431,6467,40,debris,True,8,23.4,6_24h
DSR-00425,SEG-0009,landslide,29.7,2.4,93,plain,alluvial,good,4,national,0,50.33,low,0.2614,0.0397,2586,23,earth,True,8,1.6,under_6h
DSR-00436,SEG-0069,landslide,520.7,20.0,352,mountain,weathered_rock,poor,1,state,5,43.86,high,0.564,1.1628,1864,54,rock,True,8,18.9,6_24h
DSR-00602,SEG-0023,landslide,138.6,23.6,1061,mountain,weathered_rock,fair,2,national,0,27.48,moderate,0.546,1.0917,4324,58,rock,True,8,9.7,6_24h
DSR-00641,SEG-0064,landslide,138.2,27.6,2731,mountain,weathered_rock,poor,1,national,1,66.29,very_high,0.7556,1.8706,776,34,debris,True,8,1.4,under_6h
